Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,JobLevel_1,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,JobLevel_6,JobLevel_7,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No
0.14785387,-0.6251051,0.28877005,3.0,1.0,-1.6534253,2.0,4.0,1.0607663,0.53249717,-0.6070087,0.009475266,0.0,4.0,0.0,0.3118286,0.37409928,1.0,0.9810349,0.10378866,1.8441776,1.0669487,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
-0.2432354,-0.722715,0.027342303,1.0,2.0,-0.39581314,1.0,2.0,0.105752714,1.5155479,-0.6070087,-1.187889,0.0,4.0,0.0,0.677812,-0.4973106,2.0,1.2768617,1.7458367,1.9726491,1.3963728,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.7498279,0.7801138,0.16278525,2.0,0.0,-0.48174864,2.0,3.0,-0.8260563,0.13163246,0.115535975,1.188288,0.0,2.0,1.0,1.1210631,1.0432752,2.0,0.17097828,0.41462937,-0.7094435,0.07654588,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.8209575,-1.0922265,-1.1625849,1.0,1.0,1.0344038,3.0,3.0,-0.0052293763,-1.3794407,-1.5741508,1.935878,1.0,1.0,1.0,0.677812,-0.4973106,1.0,1.1874342,1.3759105,0.66237974,1.2398113,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.8209575,-1.4707477,1.7974,2.0,0.0,-0.76987135,1.0,4.0,1.4412494,1.2693579,0.61130166,-0.7445088,0.0,3.0,1.0,1.892365,0.37409928,1.0,-1.045198,-1.2294968,-0.7094435,-1.2514043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.5062045,-0.26270193,-0.9682561,0.0,3.0,0.6396504,1.0,4.0,-1.134326,1.3514109,-1.5741508,1.3584309,1.0,4.0,0.0,-0.5892252,-0.4973106,1.0,-0.07883997,-0.27488256,0.66237974,0.07654588,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.22746,-0.6188325,0.16278525,2.0,3.0,-1.6190192,2.0,1.0,-1.4424682,1.7334412,-0.6070087,1.188288,0.0,1.0,1.0,-1.5846877,0.37409928,1.0,-1.045198,-1.2294968,0.1190199,-1.2514043,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1.5327288,1.1830255,1.4927974,3.0,1.0,-1.0796243,3.0,4.0,0.5842969,-1.2470162,0.61130166,0.3141729,0.0,3.0,0.0,0.44597757,-0.4973106,2.0,-0.07883997,0.10378866,0.1190199,-0.30453438,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.33058846,-1.588351,-0.9682561,2.0,3.0,-1.3010572,1.0,2.0,-1.0820931,1.4389209,-0.6070087,1.6645412,1.0,2.0,0.0,-0.8153837,0.37409928,2.0,-0.07883997,0.10378866,1.0046619,0.07654588,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.14785387,0.28517976,0.6183889,2.0,2.0,-1.5147429,2.0,2.0,-1.2426753,1.6009479,0.9445196,-0.34451184,0.0,2.0,1.0,-0.0023724062,-0.4973106,2.0,0.17097828,-0.27488256,-0.7094435,0.39257398,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
